string,".*"
boolean,"true|false|1|0"
float,"(\+|-)?([0-9]+(\.[0-9]*)?|\.[0-9]+)([Ee](\+|-)?[0-9]+)?|(\+|-)?INF|NaN"
double,"(\+|-)?([0-9]+(\.[0-9]*)?|\.[0-9]+)([Ee](\+|-)?[0-9]+)?|(\+|-)?INF|NaN"
decimal,"(\+|-)?([0-9]+(\.[0-9]*)?|\.[0-9]+)"
duration,"-?P[0-9]+Y?([0-9]+M)?([0-9]+D)?(T([0-9]+H)?([0-9]+M)?([0-9]+(\.[0-9]+)?S)?)?"
dateTime,"-?([1-9][0-9]{3,}|0[0-9]{3})-(0[1-9]|1[0-2])-(0[1-9]|[12][0-9]|3[01])T(([01][0-9]|2[0-3]):[0-5][0-9]:[0-5][0-9](\.[0-9]+)?|(24:00:00(\.0+)?))(Z|(\+|-)((0[0-9]|1[0-3]):[0-5][0-9]|14:00))?"
time,"(([01][0-9]|2[0-3]):[0-5][0-9]:[0-5][0-9](\.[0-9]+)?|(24:00:00(\.0+)?))(Z|(\+|-)((0[0-9]|1[0-3]):[0-5][0-9]|14:00))?"
date,"-?([1-9][0-9]{3,}|0[0-9]{3})-(0[1-9]|1[0-2])-(0[1-9]|[12][0-9]|3[01])(Z|(\+|-)((0[0-9]|1[0-3]):[0-5][0-9]|14:00))?"
gYearMonth,"-?([1-9][0-9]{3,}|0[0-9]{3})-(0[1-9]|1[0-2])(Z|(\+|-)((0[0-9]|1[0-3]):[0-5][0-9]|14:00))?"
gYear,"-?([1-9][0-9]{3,}|0[0-9]{3})(Z|(\+|-)((0[0-9]|1[0-3]):[0-5][0-9]|14:00))?"
gMonthDay,"--(0[1-9]|1[0-2])-(0[1-9]|[12][0-9]|3[01])(Z|(\+|-)((0[0-9]|1[0-3]):[0-5][0-9]|14:00))?"
gDay,"---(0[1-9]|[12][0-9]|3[01])(Z|(\+|-)((0[0-9]|1[0-3]):[0-5][0-9]|14:00))?"
gMonth,"--(0[1-9]|1[0-2])(Z|(\+|-)((0[0-9]|1[0-3]):[0-5][0-9]|14:00))?"
hexBinary,"([0-9a-fA-F]{2})*"
base64Binary,"((([A-Za-z0-9+/]?){4})*(([A-Za-z0-9+/]?){3}[A-Za-z0-9+/]|([A-Za-z0-9+/]?){2}[AEIMQUYcgkosw048]?=|[A-Za-z0-9+/]?[AQgw]?=?=))?"
anyURI,".*"
QName,".*"
NOTATION,".*"
normalizedString,"([^\r\n\t])*"
token,"([^\s])(\s([^\s])|([^\s]))*"
language,"[a-zA-Z]{1,8}(-[a-zA-Z0-9]{1,8})*"
IDREFS,".*"
ENTITIES,".*"
NMTOKEN,".*"
NMTOKENS,".*"
Name,".*"
NCName,".*"
ID,".*"
IDREF,".*"
ENTITY,".*"
integer,"[\-+]?[0-9]+"
nonPositiveInteger,"-([0-9]+)|(\+?(0+))"
negativeInteger,"((\+)?([0-9]+))|-(0+)"
long,"[\-+]?[0-9]+"
int,"[\-+]?[0-9]+"
short,"[\-+]?[0-9]+"
byte,"[\-+]?[0-9]+"
nonNegativeInteger,"(\+)?[0-9]+"
unsignedLong,"(\+)?([0-9]+)"
unsignedInt,"(\+)?([0-9]+)"
unsignedShort,"(\+)?([0-9]+)"
unsignedByte,"(\+)?([0-9]+)"
positiveInteger,"(\+)?([0-9]+)"
date_mdy,"(0[1-9]|1[0-2])\/(0[1-9]|1\d|2\d|3[01])\/(19|20)\d{2}"
date_dmy,"(0[1-9]|1\d|2\d|3[01])\/(0[1-9]|1[0-2])\/(19|20)\d{2}"
timestamp,"[0-9]+"